Category,Event Name,City,State,Attendance,Exhibitors,Date,Description
"Art, Craft & Collectibles","Florida Scallop, Music & Arts Festival",Port St. Joe,Florida,-,-,Aug 1 - Aug 1,Food & Beverage Show
Food & Hospitality,Miami Spice,Miami,Florida,-,-,Aug 1 - Sep 30,Food & Beverage Show
Food & Hospitality,Wausau Possum Festivalÿ2020,Wausau,Florida,-,-,Aug 1 - Aug 1,Food & Beverage Show
Air & Water Shows,Boeing SeaFair Airshow 2020,Seattle,Washington,-,-,Aug 1 - Aug 2,Air Show
Animal & Pets,USEF Pony Finals,Lexington-Fayette,Kentucky,-,-,Aug 4 - Aug 9,Horse & Pet Show
Air & Water Shows,Arsenal of Democracy Flyover 2020,Washington,DC,-,-,Aug 5 - Aug 5,Air Show
Food & Hospitality,Key West LobsterFest,Key West,Florida,-,-,Aug 6 - Aug 9,Food & Beverage Show
State Fair,Wisconsin State Fair 2020,West Allis,Wisconsin,-,-,Aug 6 - Aug 17,"The Wisconsin State Fair takes place for 11 days each summer. The 2017 Fair will mark 166 years of presenting one of the most family-friendly and affordable entertainment experiences of Wisconsin?s summer season. Fairgoers of all ages will come together to celebrate storied traditions and start new ones.  Please join us for the greatest 11 days of Summer!

More than 200 food vendors are sprinkled throughout the Park featuring everything to please your palate from Americana, Asian and Greek to Italian, Mexican and Polish. Our world famous and delectably delicious Cream Puffs are a treat hundreds of thousands look forward to all year, and are sold individually, in three-packs and six-packs!"
Food & Hospitality,Buffalo Brewers Festival 2020,Buffalo,New York,-,-,Aug 7 - Aug 7,Food & Beverage Show
Air & Water Shows,Nebraska Balloon & Wine Festival 2020,Elkhorn,Nebraska,-,-,Aug 7 - Aug 8,"Join us for an Evening Featuring Unique Entertainment & Showcase of Some of the Best Wines Available

A Unique Celebration Featuring:

Friday & Saturday Evening Hot Air Balloon Launches and Glows

Enjoy the Midwest?s Most Delicious Foods and Barbeque throughout the Festival

Listen to Some of the Areas Best Bands & Musicians

Plus, Exciting entertainment for Everyone to enjoy including Marketplace Village, Art & Crafts Feature Displays, Pony Rides and Activities for the Kids

Don't miss paragliding feature on Friday"
Animal & Pets,Extreme Mustang Makeover,Burbank,California,-,-,Aug 7 - Aug 8,Horse & Pet Show
Food & Hospitality,2020 Vintage Ohio,Kirtland,Ohio,-,-,Aug 7 - Aug 8,Food & Beverage Show
Train Show,2020 Great Train Show - Pomona,Pomona,California,-,-,Aug 8 - Aug 9,Train Show
Animal & Pets,2020 Florida Kids and Family Expo,Orlando,Florida,-,200,Aug 8 - Aug 9,"What is the Expo?
What isn?t the expo? The Florida Kids and Family Expo was created in 2014 by two Central Florida moms that want to help other families find services, products, and more for their Central Florida families.

An expo that merges 150+ exhibitors (businesses, organizations, schools, products, and more) with fun-filled activities for kids is our main goal.

Enjoy a day of discovery and fun for the whole family that?s indoors with more things to experience than you can do in a day.

Why should I attend?
Two reasons:

1. To find kid and family services, products, organizations and more to enhance your day-to-day experience living in Central Florida.

2. To have a full day of family fun INSIDE where you can see your kids can smile ear-to-ear all day!

What is there to do?
There will be 150+ Exhibitors on hand to share schools, organizations, products, services and more with your family. There will also be a full day of kid?s entertainment available, most included with admission!

Attractions: Bumper Cars, Mechanical Bull, Carnival Rides*
Five Bounce Houses*
Petting Zoo
Arts and Crafts
Dodgeball
Make and Take Stations
TWO Stages full of live performances all day both days!
Aerial Acts
Wrestling Ring
Laser Tag
Pony Rides*
Sports Zones
Touch a Truck
Face Painting*
Samples and Products
Prizes and Giveaways
Character Meet and Greets
Animal Interactions
Train Rides*
Star Wars Character Meet and Greets
Live Demonstrations
?there is simply too much to list it all! *Denotes additional fees may apply.

Where is the Expo?
The Florida Kids and Family Expo is located at the Orange County Convention Center. You can find it at 9800 International Drive, Orlando. Click here for more information."
Food & Hospitality,12th Annual Vermont Cheesemakers Festival 2020,Shelburne,Vermont,-,-,Aug 8 - Aug 9,Food & Beverage Show
Air & Water Shows,Plymouth Air Show,Plymouth,Massachusetts,-,-,Aug 8 - Aug 8,Air Show
